AR,phi,R/L,Fr,Qa/Qw,sigma
0.6,30,0.002315,24.721,1.243428092,-1.237941196
0.6,30,0.002315,29.590,1.312609108,-1.867412288
0.6,30,0.001543,4.120,0,42.17996368
0.6,30,0.001543,8.240,0.404837053,10.28956478
0.6,30,0.001543,12.360,0.661876452,4.003917361
0.6,30,0.001543,16.481,0.919317475,1.319095804
0.6,30,0.001543,20.601,0.94943928,0.282318546
0.6,30,0.001543,24.721,0.906063881,-0.107781861
0.6,30,0.001543,29.091,0.914668634,-0.457763294
0.6,40,0.009260,3.163,0,53.68863227
0.6,40,0.009260,6.325,0.121434639,13.21531902
0.6,40,0.009260,9.488,0.362944574,5.600428743
0.6,40,0.009260,12.651,0.437368602,2.825537505
0.6,40,0.009260,15.813,0.487732259,1.488454451
0.6,40,0.009260,18.976,0.632774155,0.381972312
0.6,40,0.009260,22.463,0.706794551,-0.31983344
0.6,40,0.004630,3.163,0,53.68863227
0.6,40,0.004630,6.325,0.34255443,13.09703971
0.6,40,0.004630,9.488,0.437708438,5.43457763
0.6,40,0.004630,12.651,0.608645817,2.329151445
0.6,40,0.004630,15.813,0.761775803,0.539728127
0.6,40,0.004630,18.976,0.857065746,-0.543865483
0.6,40,0.004630,22.301,0.906256661,-1.195734303
0.6,40,0.002315,3.163,0,53.68863227
0.6,40,0.002315,6.325,0.356827531,13.06938208
0.6,40,0.002315,9.488,0.482566756,5.320199493
0.6,40,0.002315,12.651,0.593353209,2.380080779
0.6,40,0.002315,15.813,0.756066563,0.563737859
0.6,40,0.002315,18.976,0.840073959,-0.46396692
0.6,40,0.002315,22.382,0.839586368,-0.881052133
0.6,40,0.001543,3.163,0,53.68863227
0.6,40,0.001543,6.325,0.26507188,13.22748332
0.6,40,0.001543,9.488,0.399646835,5.522881381
0.6,40,0.001543,12.651,0.529124253,2.579832626
0.6,40,0.001543,15.813,0.554611934,1.295307607
0.6,40,0.001543,18.976,0.481207413,0.849776637
0.6,40,0.001543,22.058,0.529169231,0.327918925
0.6,60,0.013790,2.031,0,86.83172108
0.6,60,0.013790,4.061,0.133112183,21.59747144
0.6,60,0.013790,6.092,0.258156962,9.232505856
0.6,60,0.013790,8.122,0.344017201,4.689205508
0.6,60,0.013790,10.153,0.423884511,2.353160774
0.6,60,0.013790,12.183,0.391845388,1.454810721
0.6,60,0.013790,14.125,0.41947625,0.697364416
0.6,60,0.006895,2.031,0,86.83172108
0.6,60,0.006895,4.061,0.171144236,21.52533506
0.6,60,0.006895,6.092,0.290426582,9.122148456
0.6,60,0.006895,8.122,0.392421631,4.466983726
0.6,60,0.006895,10.153,0.450852694,2.206100927
0.6,60,0.006895,12.183,0.441978548,1.194216807
0.6,60,0.006895,14.125,0.481105462,0.351365633
0.6,60,0.003448,2.031,0,86.83172108
0.6,60,0.003448,4.061,0.030732972,21.67812185
0.6,60,0.003448,6.092,0.174025452,9.45917406
0.6,60,0.003448,8.122,0.171144236,5.244387356
0.6,60,0.003448,10.153,0.194309213,3.237898567
0.6,60,0.003448,12.183,0.220124909,2.109925302
0.6,60,0.003448,14.258,0.224531475,1.446838478
0.6,60,0.002298,2.031,0,86.83172108
0.6,60,0.002298,4.061,0,21.70793027
0.6,60,0.002298,6.092,0,9.647969009
0.6,60,0.002298,8.122,0.030732972,5.397174146
0.6,60,0.002298,10.153,0.056855997,3.371249521
0.6,60,0.002298,12.183,0.069149186,2.382183831
0.6,60,0.002298,13.905,0.078764216,1.813035646
1.666666667,10,0.002550,13.695,0.477129384,19.89720182
1.666666667,10,0.002550,27.390,0.919468084,4.837757695
1.666666667,10,0.002550,41.085,1.225957446,1.954916971
1.666666667,10,0.002550,54.781,1.645102356,0.777389443
1.666666667,10,0.002550,68.476,1.765378722,0.257782724
1.666666667,10,0.002550,82.171,1.882010349,-0.059552044
1.666666667,10,0.002550,83.883,1.892288646,-0.088642962
1.666666667,10,0.001275,13.695,0.984079355,19.76892751
1.666666667,10,0.001275,27.390,1.366776882,4.660668309
1.666666667,10,0.001275,41.085,1.752787807,1.683168888
1.666666667,10,0.001275,54.781,2.718643471,-0.033833936
1.666666667,10,0.001275,68.476,2.683852786,-0.449860304
1.666666667,10,0.001275,82.171,2.952238065,-0.955468447
1.666666667,10,0.001275,83.883,2.955280982,-0.980954522
1.666666667,10,0.000638,13.695,0,19.93662346
1.666666667,10,0.000638,27.390,1.635162161,4.52115267
1.666666667,10,0.000638,41.085,2.276304771,1.317910384
1.666666667,10,0.000638,54.781,2.982058652,-0.29386874
1.666666667,10,0.000638,68.476,3.413463137,-1.22021727
1.666666667,10,0.000638,82.171,4.156658421,-2.438131985
1.666666667,10,0.000638,83.883,4.177316446,-2.490318053
1.666666667,10,0.000425,13.695,0,19.93662346
1.666666667,10,0.000425,27.390,1.317075904,4.683766924
1.666666667,10,0.000425,41.085,2.064247267,1.477300337
1.666666667,10,0.000425,54.781,2.818045426,-0.129137113
1.666666667,10,0.000425,68.476,3.475092349,-1.293732464
1.666666667,10,0.000425,82.171,3.939630819,-2.133859055
