AR,phi,R/L,Fr,Qa/Qw,sigma,gbm,xgb,catb,xrt,rf
0.6,20,0.001743,31.653,2.318802708,-2.652348572,-2.6255659477988114,-2.513741,-2.4913391692794455,-2.6523951388605527,-2.1679231430119734
1.0,30,0.001518,10.51015,0.578740272,8.5512575,8.573484274354916,8.625961,8.62077124404108,8.552383661044214,8.455582240676652
0.6,10,0.001,20.76,1.252464634,4.712516145,4.7142118959452075,5.124926,4.722606160856667,4.712516145000036,4.571307449634728
1.666666667,60,0.003013,10.716,0.178923519,5.227410529,5.216603943350893,5.5921035,5.2237524579129815,5.226748165593508,5.031759315670672
1.0,15,0.001109,38.19735,2.368152177,-1.063137849,-1.0498741928817732,-0.96831733,-1.1131912147560818,-1.0633747066063215,-0.9075054160359272
0.6,10,0.001,62.28,3.687812533,-1.801254199,-1.8063104238911871,-1.995247,-1.7889224366756054,-1.8010957924424813,-1.8356376122215592
1.666666667,60,0.003013,8.037,0.227039828,9.326625946,9.350181855178734,9.325264,9.516151153504069,9.32662594600003,9.16261785968262
1.666666667,60,0.002008,16.074,0.054743106,2.393310238,2.396868735367393,2.1306689,2.3457928518227282,2.3930633824035783,2.3658908738742577
0.6,20,0.00697,5.275,0.0,38.59187603,38.547150109515464,38.187412,38.55745428002848,38.59187602999975,38.90703939215572
1.0,10,0.005543,35.86841,0.986656443,1.622004843,1.6695390398500434,2.1604688,1.7781613953828588,1.62200484300001,1.6057551869940154
1.0,20,0.001894,21.59441,1.050820668,2.182690989,2.2004758335446835,2.2262084,2.1873353995377975,2.182312760047466,2.1339433062814326
1.666666667,60,0.002008,13.395,0.038032052,3.464251796,3.4723926343923894,3.3334055,3.464613304455697,3.4642517960000037,3.5918958593233503
1.666666667,10,0.001275,83.883,2.955280982,-0.980954522,-0.9695767572021543,-0.96039337,-0.9417182415398315,-0.9809167088323391,-0.9393741545449097
1.666666667,20,0.00484,27.841,0.755454858,2.016680834,2.0407699859318305,2.0963538,1.8978658729110691,2.0166808339999993,1.7508555449161676
1.0,30,0.009108,37.36941,1.276072598,-1.883711527,-1.8959949145542916,-1.9452192,-1.9101447652384262,-1.8822747184183892,-1.9000464692694619
1.666666667,10,0.001275,82.171,2.952238065,-0.955468447,-0.9679111344201853,-0.96039337,-0.9296616631701973,-0.9555062601676484,-0.9418619974371243
0.6,10,0.000667,51.9,3.395570785,-1.199120535,-1.2052566588232752,-1.0963914,-1.264346437791069,-1.1995559392908066,-1.221570215407183
1.666666667,60,0.002008,2.679,0.0,86.83172108,86.77306516516356,86.872444,86.75832371456575,86.83172108000048,86.50987628299379
1.666666667,20,0.00121,6.96,0.518618896,38.4055734,38.39089133966244,37.97193,38.34251763546764,38.405573399999874,37.05673996437133
1.666666667,20,0.00121,51.446,2.618598327,-4.043228513,-4.076297135354744,-3.6934056,-3.9185509020456273,-4.043228513000015,-3.8102834621796378
1.666666667,20,0.000807,41.762,1.777134083,-1.115577248,-1.12294970324625,-1.6755737,-1.2981918727785011,-1.1168942676385796,-1.3134729266407155
1.0,20,0.001263,35.99069,1.373451013,-0.271786383,-0.26357796937019695,-0.31852138,-0.25125260900019164,-0.2708925950286854,-0.23822197871856254
0.6,40,0.00926,18.976,0.632774155,0.381972312,0.3889306353404492,0.42097455,0.36710507092157485,0.38413698126914064,0.5539675613892224
0.6,15,0.001428,6.71,0.0,31.81023577,31.82096603173446,31.766169,31.95128536690712,31.810235770000183,31.80526762652692
1.666666667,60,0.006025,18.928,0.429661128,0.588666358,0.6275398087597095,0.13606353,0.5867679309054683,0.5886663580000031,0.7683772477544898
1.0,10,0.002771,47.82455,2.542481117,-0.138293277,-0.14632184738601473,-0.43842393,-0.24120627254234073,-0.13825815861127647,-0.1782699038742515
1.666666667,10,0.000638,13.695,0.0,19.93662346,19.98054131847188,20.145002,20.005487283994142,19.936623460000124,19.69806941050904
0.6,60,0.003448,4.061,0.030732972,21.67812185,21.655155264271595,21.924068,21.491929490673883,21.67812185000002,22.213652668083828
1.666666667,40,0.00878,4.173,0.0,53.68863227,53.711112772460076,53.70899,53.507988787565544,53.68863226999984,52.64847932766473
