AR,L,phi,QW,Qa,h,Va,R,sigma,gbm,xgb,rf,catb,xrt
0.6,4,20,13.8,31.99947737,1.88,20.12,0.00697,-2.652348572,-2.625628916784978,-1.8055838,-2.4605301815946166,-2.6584835016755157,-2.5793924862330067
1.0,6,30,7.2,4.166929956,7.6656,2.62,0.00910836,8.5512575,8.524339856352205,8.2087755,8.438880017540674,8.556667916052682,8.518850371301065
0.6,4,10,3.2,4.007886828,0.94,2.52,0.004,4.712516145,4.774892855728625,4.7308574,4.856676725962126,4.734765926942799,4.710889479127032
1.666666667,4,60,18.4,3.292192751,3.24,2.07,0.01205,5.227410529,5.220242049144389,5.210557,5.468329589020354,5.193445250512951,5.229596097233002
1.0,6,15,10.0,23.68152177,6.561,14.89,0.0066531,-1.063137849,-1.0731873389433324,-1.1184766,-0.9947500942919388,-1.1185496069728398,-1.0464618504439978
0.6,4,10,9.6,35.40300031,0.94,22.26,0.004,-1.801254199,-1.8297980924973283,-1.7444334,-1.8634516237977197,-1.8454859694972985,-1.7732613344741786
1.666666667,4,60,13.8,3.133149623,3.24,1.97,0.01205,9.326625946,9.35702293651781,9.050202,9.394025298247442,9.379839823839399,9.276267698613582
1.666666667,6,60,27.6,1.510909717,3.24,0.95,0.01204998,2.393310238,2.3713018007909934,2.520318,4.03796581795367,2.3940881089448363,2.468461277240002
0.6,1,20,2.3,0.0,1.88,0.0,0.00697,38.59187603,38.57798790898848,38.101345,36.163457649873486,38.50349213217217,38.50394418145984
1.0,1,10,5.4,5.327944791,5.8785,3.35,0.00554251,1.622004843,1.6387597019648374,2.0479727,2.0699566547066546,1.6811412074205832,1.6909521199130073
1.0,4,20,8.4,8.826893609,7.0444,5.55,0.00757704,2.182690989,2.1908310369015522,2.1946979,2.2712928468636346,2.186750491425344,2.1896644754995065
1.666666667,6,60,23.0,0.874737204,3.24,0.55,0.01204998,3.464251796,3.479795645532158,3.8100376,5.216329967406349,3.468501625004749,3.609225316547996
1.666666667,2,10,9.8,28.96175362,0.54,18.21,0.00255,-0.980954522,-1.00370244423849,-1.5709498,-1.184858118615106,-0.9821233193184824,-0.9750586007139931
1.666666667,1,20,9.2,6.950184697,1.08,4.37,0.00484,2.016680834,1.9851208719210058,1.9203125,2.0027933647629106,1.9694952442403864,1.9749679728260032
1.0,1,30,25.6,32.66745851,7.6656,20.54,0.00910836,-1.883711527,-1.855473100567753,-1.8322287,-1.7581711939265867,-1.8243009147350229,-1.8770480181479943
1.666666667,2,10,9.6,28.34148543,0.54,17.82,0.00255,-0.955468447,-0.9875269266349526,-1.5709498,-1.089905405409888,-1.0540586204286786,-0.9692425705219929
0.6,6,10,8.0,27.16456628,0.94,17.08,0.00400002,-1.199120535,-1.2045901562274988,-1.0612682,-1.2439509849849737,-1.1000534285326697,-1.2060274024080064
1.666666667,6,60,4.6,0.0,3.24,0.0,0.01204998,86.83172108,86.82732369117397,86.41738,85.42060676589124,86.73896086832843,86.82864976108078
1.666666667,4,20,2.3,1.192823461,1.08,0.75,0.00484,38.4055734,38.39945194392221,38.395103,35.56651465574508,38.420250961732904,38.50659751753003
1.666666667,4,20,17.0,44.51617155,1.08,27.99,0.00484,-4.043228513,-4.0608982690937045,-4.1366267,-4.026798078507038,-4.016928133935485,-4.034464557934008
1.666666667,6,20,13.8,24.52445035,1.08,15.42,0.00484002,-1.115577248,-1.1542233306076137,-1.5890509,-1.2387538090713182,-1.241054488830251,-1.1707296719733336
1.0,6,20,14.0,19.22831419,7.0444,12.09,0.00757704,-0.271786383,-0.2878432278917651,-0.12107279,-0.34716594207395,-0.29204413803875795,-0.2842304454880014
0.6,1,40,23.4,14.80691522,3.76,9.31,0.00926,0.381972312,0.3949380950916736,0.38548088,0.44046463853248935,0.3081267970937631,0.3964240916764999
0.6,4,15,1.9,0.0,1.41,0.0,0.00571,31.81023577,31.79505656629271,31.797861,31.327933773389837,31.760975323165837,31.810235770000407
1.666666667,2,60,32.5,13.96398665,3.24,8.78,0.01205,0.588666358,0.5730778339111371,0.6869127,0.6193173349080615,0.6246420844025673,0.5984641716643326
1.0,2,10,7.2,18.30586404,5.8785,11.51,0.0055425,-0.138293277,-0.17891931424477045,0.024383059,-0.15725770232603586,-0.31675589788038394,-0.1369409583543333
1.666666667,4,10,1.6,0.0,0.54,0.0,0.00255,19.93662346,19.943375338957594,20.053814,20.0914139368633,20.037893873425183,19.936623460000146
0.6,4,60,9.2,0.282743339,5.64,0.4,0.01379,21.67812185,21.69558624316277,22.180515,22.633611047880056,21.703120346314837,21.645655574366018
