AR,L,phi,QW,Qa,h,VA,R,sigma
0.6,4,10,9.60,35.40300031,0.94,22.26,0.004,-1.801254199
0.6,4,10,11.45,46.23383734,0.94,29.07,0.004,-2.434095792
0.6,6,10,1.60,0,0.94,0.00,0.00400002,19.93662346
0.6,6,10,3.20,3.785226448,0.94,2.38,0.00400002,4.741859942
0.6,6,10,4.80,10.9262629,0.94,6.87,0.00400002,1.317910384
0.6,6,10,6.40,17.43112684,0.94,10.96,0.00400002,-0.038517822
0.6,6,10,8.00,27.16456628,0.94,17.08,0.00400002,-1.199120535
0.6,6,10,9.60,33.00144908,0.94,20.75,0.00400002,-1.492583027
0.6,6,10,11.45,40.49238041,0.94,25.46,0.00400002,-1.7764018
0.6,1,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,1,15,3.80,0.883572934,1.41,1.25,0.00571,7.845917134
0.6,1,15,5.70,3.260384126,1.41,2.05,0.00571,3.406993394
0.6,1,15,7.60,5.407466355,1.41,3.40,0.00571,1.790895048
0.6,1,15,9.50,7.840826215,1.41,4.93,0.00571,1.006996979
0.6,1,15,11.40,10.97397584,1.41,6.90,0.00571,0.522571155
0.6,1,15,13.30,14.23435996,1.41,8.95,0.00571,0.202898178
0.6,2,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,2,15,3.80,3.037723746,1.41,1.91,0.00571,7.703573355
0.6,2,15,5.70,5.868691426,1.41,3.69,0.00571,3.12144436
0.6,2,15,7.60,11.57833972,1.41,7.28,0.00571,1.083844505
0.6,2,15,9.50,17.68559584,1.41,11.12,0.00571,-0.077911596
0.6,2,15,11.40,27.40313097,1.41,17.23,0.00571,-1.36769347
0.6,2,15,13.30,35.18033993,1.41,22.12,0.00571,-2.076910554
0.6,4,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,4,15,3.80,3.180862562,1.41,2.00,0.00571,7.679555914
0.6,4,15,5.70,6.441246688,1.41,4.05,0.00571,3.036922622
0.6,4,15,7.60,12.07137342,1.41,7.59,0.00571,1.005190626
0.6,4,15,9.50,20.72331959,1.41,13.03,0.00571,-0.581618563
0.6,4,15,11.40,31.12474017,1.41,19.57,0.00571,-2.020716714
0.6,4,15,13.30,40.61961491,1.41,25.54,0.00571,-2.985047884
0.6,6,15,1.90,0,1.41,0.00,0.00571002,31.81023577
0.6,6,15,3.80,3.403522941,1.41,2.14,0.00571002,7.639997775
0.6,6,15,5.70,6.393533749,1.41,4.02,0.00571002,3.044266403
0.6,6,15,7.60,12.77116319,1.41,8.03,0.00571002,0.887922175
0.6,6,15,9.50,22.727263,1.41,14.29,0.00571002,-0.957524077
0.6,6,15,11.40,31.91995581,1.41,20.07,0.00571002,-2.171020048
0.6,6,15,13.30,40.25381572,1.41,25.31,0.00571002,-2.919886519
0.6,1,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,1,20,4.60,1.52681403,1.88,0.96,0.00697,9.57165945
0.6,1,20,6.90,3.260384126,1.88,2.05,0.00697,4.13333204
0.6,1,20,9.20,4.707676591,1.88,2.96,0.00697,2.230624568
0.6,1,20,11.50,7.125132138,1.88,4.48,0.00697,1.277778623
0.6,1,20,13.80,9.431257496,1.88,5.93,0.00697,0.748474903
0.6,1,20,16.20,15.42718342,1.88,9.70,0.00697,0.149742789
0.6,2,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,2,20,4.60,3.419427254,1.88,2.15,0.00697,9.265220598
0.6,2,20,6.90,7.109227826,1.88,4.47,0.00697,3.552678711
0.6,2,20,9.20,13.12105807,1.88,8.25,0.00697,1.003078585
0.6,2,20,11.50,17.3834139,1.88,10.93,0.00697,-0.039018327
0.6,2,20,13.80,25.14471855,1.88,15.81,0.00697,-1.227632072
0.6,2,20,16.20,34.21017685,1.88,21.51,0.00697,-2.310997482
0.6,4,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,4,20,4.60,3.546661756,1.88,2.23,0.00697,9.236207068
0.6,4,20,6.90,7.506835646,1.88,4.72,0.00697,3.468129516
0.6,4,20,9.20,13.82084783,1.88,8.69,0.00697,0.848786884
0.6,4,20,11.50,21.07321447,1.88,13.25,0.00697,-0.782209838
0.6,4,20,13.80,31.99947737,1.88,20.12,0.00697,-2.652348572
0.6,4,20,16.20,40.14248553,1.88,25.24,0.00697,-3.475157173
0.6,6,20,2.30,0,1.88,0.00,0.00697002,38.59187603
0.6,6,20,4.60,3.276288439,1.88,2.06,0.00697002,9.296593962
0.6,6,20,6.90,6.600289816,1.88,4.15,0.00697002,3.654189266
0.6,6,20,9.20,11.14892328,1.88,7.01,0.00697002,1.394777802
0.6,6,20,11.50,18.91022793,1.88,11.89,0.00697002,-0.329249016
0.6,6,20,13.80,28.53233718,1.88,17.94,0.00697002,-1.889006421
0.6,6,20,16.10,33.51038709,1.88,21.07,0.00697002,-2.213158233
0.6,1,30,3.30,0,2.82,0.00,0.00926,42.17996368
0.6,1,30,6.60,1.542718342,2.82,0.97,0.00926,10.45983982
0.6,1,30,9.90,4.898528345,2.82,3.08,0.00926,4.305100117
0.6,1,30,13.20,8.413381476,2.82,5.29,0.00926,2.003110081
0.6,1,30,16.50,13.12105807,2.82,8.25,0.00926,0.701657615
0.6,1,30,19.80,18.51262011,2.82,11.64,0.00926,-0.190751919
0.6,1,30,23.70,23.41114845,2.82,14.72,0.00926,-0.702953452
0.6,2,30,3.30,0,2.82,0.00,0.00926,42.17996368
0.6,2,30,6.60,4.325973084,2.82,2.72,0.00926,9.875438484
0.6,2,30,9.90,11.11711465,2.82,6.99,0.00926,2.721408943
0.6,2,30,13.20,19.05336674,2.82,11.98,0.00926,-0.610887917
0.6,2,30,16.50,26.21030751,2.82,16.48,0.00926,-2.245414212
0.6,2,30,19.80,34.13065529,2.82,21.46,0.00926,-3.459216316
0.6,2,30,23.60,38.79061894,2.82,24.39,0.00926,-3.385778891
0.6,4,30,3.30,0,2.82,0.00,0.00926,42.17996368
0.6,4,30,6.60,4.421398961,2.82,2.78,0.00926,9.845573608
0.6,4,30,9.90,9.606204937,2.82,6.04,0.00926,3.219297666
0.6,4,30,13.20,14.67968072,2.82,9.23,0.00926,0.708766324
0.6,4,30,16.50,18.65575892,2.82,11.73,0.00926,-0.305138421
0.6,4,30,19.80,24.61987623,2.82,15.48,0.00926,-1.237941196
0.6,4,30,23.70,31.10883585,2.82,19.56,0.00926,-1.867412288
0.6,6,30,3.30,0,2.82,0.00,0.00925998,42.17996368
0.6,6,30,6.60,2.671924552,2.82,1.68,0.00925998,10.28956478
0.6,6,30,9.90,6.552576877,2.82,4.12,0.00925998,4.003917361
0.6,6,30,13.20,12.13499067,2.82,7.63,0.00925998,1.319095804
0.6,6,30,16.50,15.66574812,2.82,9.85,0.00925998,0.282318546
0.6,6,30,19.80,17.94006485,2.82,11.28,0.00925998,-0.107781861
0.6,6,30,23.30,21.31177916,2.82,13.40,0.00925998,-0.457763294
0.6,1,40,3.90,0,3.76,0.00,0.00926,53.68863227
0.6,1,40,7.80,0.947190185,3.76,1.34,0.00926,13.21531902
0.6,1,40,11.70,4.24645152,3.76,2.67,0.00926,5.600428743
0.6,1,40,15.60,6.822950195,3.76,4.29,0.00926,2.825537505
0.6,1,40,19.50,9.51077906,3.76,5.98,0.00926,1.488454451
0.6,1,40,23.40,14.80691522,3.76,9.31,0.00926,0.381972312
0.6,1,40,27.70,19.57820907,3.76,12.31,0.00926,-0.31983344
0.6,2,40,3.90,0,3.76,0.00,0.00926,53.68863227
0.6,2,40,7.80,2.671924552,3.76,1.68,0.00926,13.09703971
0.6,2,40,11.70,5.121188724,3.76,3.22,0.00926,5.43457763
0.6,2,40,15.60,9.494874747,3.76,5.97,0.00926,2.329151445
0.6,2,40,19.50,14.85462816,3.76,9.34,0.00926,0.539728127
0.6,2,40,23.40,20.05533845,3.76,12.61,0.00926,-0.543865483
0.6,2,40,27.50,24.92205817,3.76,15.67,0.00926,-1.195734303
0.6,4,40,3.90,0,3.76,0.00,0.00926,53.68863227
0.6,4,40,7.80,2.783254742,3.76,1.75,0.00926,13.06938208
0.6,4,40,11.70,5.646031047,3.76,3.55,0.00926,5.320199493
0.6,4,40,15.60,9.256310055,3.76,5.82,0.00926,2.380080779
0.6,4,40,19.50,14.74329797,3.76,9.27,0.00926,0.563737859
0.6,4,40,23.40,19.65773063,3.76,12.36,0.00926,-0.46396692
0.6,4,40,27.60,23.17258376,3.76,14.57,0.00926,-0.881052133
0.6,6,40,3.90,0,3.76,0.00,0.00925998,53.68863227
0.6,6,40,7.80,2.067560665,3.76,1.30,0.00925998,13.22748332
0.6,6,40,11.70,4.675867966,3.76,2.94,0.00925998,5.522881381
0.6,6,40,15.60,8.254338348,3.76,5.19,0.00925998,2.579832626
0.6,6,40,19.50,10.81493271,3.76,6.80,0.00925998,1.295307607
0.6,6,40,23.40,11.26025347,3.76,7.08,0.00925998,0.849776637
0.6,6,40,27.20,14.39340309,3.76,9.05,0.00925998,0.327918925
0.6,1,60,4.60,0,5.64,0.00,0.01379,86.83172108
0.6,1,60,9.20,1.224632086,5.64,0.77,0.01379,21.59747144
0.6,1,60,13.80,3.562566069,5.64,2.24,0.01379,9.232505856
0.6,1,60,18.40,6.329916498,5.64,3.98,0.01379,4.689205508
0.6,1,60,23.00,9.749343752,5.64,6.13,0.01379,2.353160774
0.6,1,60,27.60,10.81493271,5.64,6.80,0.01379,1.454810721
0.6,1,60,32.00,13.42324001,5.64,8.44,0.01379,0.697364416
0.6,2,60,4.60,0,5.64,0.00,0.01379,86.83172108
0.6,2,60,9.20,1.574526968,5.64,0.99,0.01379,21.52533506
0.6,2,60,13.80,4.007886828,5.64,2.52,0.01379,9.122148456
0.6,2,60,18.40,7.220558015,5.64,4.54,0.01379,4.466983726
0.6,2,60,23.00,10.36961195,5.64,6.52,0.01379,2.206100927
0.6,2,60,27.60,12.19860792,5.64,7.67,0.01379,1.194216807
0.6,2,60,32.00,15.3953748,5.64,9.68,0.01379,0.351365633
0.6,4,60,4.60,0,5.64,0.00,0.01379,86.83172108
0.6,4,60,9.20,0.282743339,5.64,0.40,0.01379,21.67812185
